2025-07-15 02:22:08,135 | VectorStoreService | ERROR | Error creating vector store: No columns to parse from file
2025-07-15 02:22:08,136 | QAAgent | ERROR | Error initializing QA agent: No columns to parse from file
2025-07-15 02:23:00,649 | VectorStoreService | ERROR | Error creating vector store: Error tokenizing data. C error: Expected 2 fields in line 3, saw 3

2025-07-15 02:23:00,649 | QAAgent | ERROR | Error initializing QA agent: Error tokenizing data. C error: Expected 2 fields in line 3, saw 3

2025-07-15 02:24:16,826 | VectorStoreService | INFO | Loaded 5 documents from data/hotel_faq.csv
2025-07-15 02:24:16,826 | VectorStoreService | ERROR | Error creating vector store: type object 'Config' has no attribute 'OPENAI_API_KEY'
2025-07-15 02:24:16,827 | QAAgent | ERROR | Error initializing QA agent: type object 'Config' has no attribute 'OPENAI_API_KEY'
2025-07-15 15:14:13,073 | VectorStoreService | INFO | Loaded 5 documents from data/hotel_faq.csv
2025-07-15 15:14:13,073 | VectorStoreService | ERROR | Error creating vector store: type object 'Config' has no attribute 'OPENAI_API_KEY'
2025-07-15 15:14:13,073 | QAAgent | ERROR | Error initializing QA agent: type object 'Config' has no attribute 'OPENAI_API_KEY'
2025-07-15 15:20:39,920 | VectorStoreService | INFO | Loaded 5 documents from data/hotel_faq.csv
2025-07-15 15:20:41,466 | VectorStoreService | ERROR | Error creating vector store: Could not import tiktoken python package. This is needed in order to for OpenAIEmbeddings. Please install it with `pip install tiktoken`.
2025-07-15 15:20:41,466 | QAAgent | ERROR | Error initializing QA agent: Could not import tiktoken python package. This is needed in order to for OpenAIEmbeddings. Please install it with `pip install tiktoken`.
2025-07-15 15:21:38,342 | VectorStoreService | INFO | Loaded 5 documents from data/hotel_faq.csv
2025-07-15 15:21:49,329 | VectorStoreService | ERROR | Error creating vector store: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-07-15 15:21:49,329 | QAAgent | ERROR | Error initializing QA agent: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-07-15 15:27:41,307 | VectorStoreService | INFO | Loaded 5 documents from data/hotel_faq.csv
2025-07-15 15:27:46,923 | VectorStoreService | ERROR | Error creating vector store: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-07-15 15:27:46,924 | QAAgent | ERROR | Error initializing QA agent: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-07-15 15:29:02,812 | VectorStoreService | INFO | Loaded 5 documents from data/hotel_faq.csv
2025-07-15 15:29:09,068 | VectorStoreService | ERROR | Error creating vector store: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-07-15 15:29:09,068 | QAAgent | ERROR | Error initializing QA agent: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-07-15 15:32:21,021 | VectorStoreService | INFO | Loaded 5 documents from data/hotel_faq.csv
2025-07-15 15:33:02,336 | VectorStoreService | INFO | Vector store created with Hugging Face embeddings.
2025-07-15 15:33:03,241 | QAAgent | INFO | Groq-based QA agent initialized successfully.
2025-07-15 15:33:26,303 | QAAgent | INFO | Processed query: What are the check-in and check-out times?
2025-07-15 15:33:33,988 | QAAgent | INFO | Processed query: great
2025-07-15 15:33:41,687 | QAAgent | INFO | Processed query: no thanks
2025-07-15 15:53:22,102 | VectorStoreService | INFO | Loaded 5 documents from data/hotel_faq.csv
2025-07-15 15:53:30,514 | VectorStoreService | INFO | Vector store created with Hugging Face embeddings.
2025-07-15 15:53:31,639 | QAAgent | INFO | Groq-based QA agent initialized successfully.
2025-07-15 15:54:00,230 | QAAgent | INFO | Processed query: When is this hotel closing?
2025-07-15 15:54:19,792 | QAAgent | INFO | Processed query: Yes what are hotels operating hours?
2025-07-15 15:54:46,116 | QAAgent | INFO | Processed query: What is the check-in and check out time for the hotel?
2025-07-15 15:55:02,102 | QAAgent | INFO | Processed query: let me know all the details you know about the hotel in brief
2025-07-15 16:04:28,827 | VectorStoreService | INFO | Loaded 5 documents from data/hotel_faq.csv
2025-07-15 16:04:36,406 | VectorStoreService | INFO | Vector store created with Hugging Face embeddings.
2025-07-15 16:04:37,397 | QAAgent | INFO | Groq-based QA agent initialized successfully.
2025-07-15 16:05:16,419 | QAAgent | INFO | Processed query: Hii
2025-07-15 16:06:20,937 | VectorStoreService | INFO | Loaded 5 documents from data/hotel_faq.csv
2025-07-15 16:06:29,308 | VectorStoreService | INFO | Vector store created with Hugging Face embeddings.
2025-07-15 16:06:30,543 | QAAgent | INFO | Groq-based QA agent initialized successfully.
2025-07-15 16:07:58,445 | VectorStoreService | INFO | Loaded 5 documents from data/hotel_faq.csv
2025-07-15 16:08:06,982 | VectorStoreService | INFO | Vector store created with Hugging Face embeddings.
2025-07-15 16:08:08,127 | QAAgent | INFO | Groq-based QA agent initialized successfully.
2025-07-15 16:08:22,684 | QAAgent | INFO | Processed query: heyy how re u
2025-07-15 16:31:52,369 | VectorStoreService | INFO | Loaded 5 documents from data/hotel_faq.csv
2025-07-15 16:32:04,599 | VectorStoreService | INFO | Vector store created with Hugging Face embeddings.
2025-07-15 16:32:05,783 | QAAgent | INFO | Groq-based QA agent initialized successfully.
2025-07-15 16:32:53,860 | VectorStoreService | INFO | Loaded 5 documents from data/hotel_faq.csv
2025-07-15 16:33:03,285 | VectorStoreService | INFO | Vector store created with Hugging Face embeddings.
2025-07-15 16:33:04,061 | QAAgent | INFO | Groq-based QA agent initialized successfully.
2025-07-15 16:41:47,740 | VectorStoreService | INFO | Loaded 5 documents from data/hotel_faq.csv
2025-07-15 16:41:54,457 | VectorStoreService | INFO | Vector store created with Hugging Face embeddings.
2025-07-15 16:41:55,347 | QAAgent | INFO | Groq-based QA agent initialized successfully.
2025-07-15 16:44:00,770 | VectorStoreService | INFO | Loaded 5 documents from data/hotel_faq.csv
2025-07-15 16:44:04,436 | VectorStoreService | INFO | Vector store created with Hugging Face embeddings.
2025-07-15 16:44:04,951 | QAAgent | INFO | Groq-based QA agent initialized successfully.
2025-07-15 16:48:18,844 | VectorStoreService | INFO | Loaded 5 documents from data/hotel_faq.csv
2025-07-15 16:48:26,222 | VectorStoreService | INFO | Vector store created with Hugging Face embeddings.
2025-07-15 16:48:27,113 | QAAgent | INFO | Groq-based QA agent initialized successfully.
2025-07-15 16:49:51,165 | VectorStoreService | INFO | Loaded 5 documents from data/hotel_faq.csv
2025-07-15 16:49:59,188 | VectorStoreService | INFO | Vector store created with Hugging Face embeddings.
2025-07-15 16:49:59,999 | QAAgent | INFO | Groq-based QA agent initialized successfully.
2025-07-15 16:50:26,796 | VectorStoreService | INFO | Loaded 5 documents from data/hotel_faq.csv
2025-07-15 16:50:34,394 | VectorStoreService | INFO | Vector store created with Hugging Face embeddings.
2025-07-15 16:50:35,227 | QAAgent | INFO | Groq-based QA agent initialized successfully.
2025-07-15 16:51:46,416 | VectorStoreService | INFO | Loaded 5 documents from data/hotel_faq.csv
2025-07-15 16:51:53,300 | VectorStoreService | INFO | Vector store created with Hugging Face embeddings.
2025-07-15 16:51:54,185 | QAAgent | INFO | Groq-based QA agent initialized successfully.
2025-07-15 16:52:24,876 | VectorStoreService | INFO | Loaded 5 documents from data/hotel_faq.csv
2025-07-15 16:52:28,577 | VectorStoreService | INFO | Vector store created with Hugging Face embeddings.
2025-07-15 16:52:29,109 | QAAgent | INFO | Groq-based QA agent initialized successfully.
2025-07-15 16:53:18,296 | VectorStoreService | INFO | Loaded 5 documents from data/hotel_faq.csv
2025-07-15 16:53:25,687 | VectorStoreService | INFO | Vector store created with Hugging Face embeddings.
2025-07-15 16:53:26,664 | QAAgent | INFO | Groq-based QA agent initialized successfully.
2025-07-15 16:54:25,376 | VectorStoreService | INFO | Loaded 5 documents from data/hotel_faq.csv
2025-07-15 16:54:33,252 | VectorStoreService | INFO | Vector store created with Hugging Face embeddings.
2025-07-15 16:54:34,236 | QAAgent | INFO | Groq-based QA agent initialized successfully.
2025-07-15 16:56:06,243 | VectorStoreService | INFO | Loaded 5 documents from data/hotel_faq.csv
2025-07-15 16:56:15,963 | VectorStoreService | INFO | Vector store created with Hugging Face embeddings.
2025-07-15 16:56:17,605 | QAAgent | INFO | Groq-based QA agent initialized successfully.
2025-07-15 16:57:11,384 | VectorStoreService | INFO | Loaded 5 documents from data/hotel_faq.csv
2025-07-15 16:57:18,282 | VectorStoreService | INFO | Vector store created with Hugging Face embeddings.
2025-07-15 16:57:19,003 | QAAgent | INFO | Groq-based QA agent initialized successfully.
2025-07-15 16:57:57,968 | VectorStoreService | INFO | Loaded 5 documents from data/hotel_faq.csv
2025-07-15 16:58:05,887 | VectorStoreService | INFO | Vector store created with Hugging Face embeddings.
2025-07-15 16:58:06,770 | QAAgent | INFO | Groq-based QA agent initialized successfully.
2025-07-15 16:58:30,934 | VectorStoreService | INFO | Loaded 5 documents from data/hotel_faq.csv
2025-07-15 16:58:34,526 | VectorStoreService | INFO | Vector store created with Hugging Face embeddings.
2025-07-15 16:58:34,995 | QAAgent | INFO | Groq-based QA agent initialized successfully.
2025-07-15 16:58:39,306 | VectorStoreService | INFO | Loaded 5 documents from data/hotel_faq.csv
2025-07-15 16:58:43,930 | VectorStoreService | INFO | Vector store created with Hugging Face embeddings.
2025-07-15 16:58:44,398 | QAAgent | INFO | Groq-based QA agent initialized successfully.
2025-07-15 16:59:46,756 | VectorStoreService | INFO | Loaded 5 documents from data/hotel_faq.csv
